FECHA;DIA SEMANA;TIPO ACCIDENTE;Tipo Vehiculo;TIPO PERSONA;SEXO
01/01/2017;DOMINGO;CHOQUE CON OBJETO FIJO;BICICLETA;CONDUCTOR;MUJER
02/01/2017;LUNES;CAIDA BICICLETA ;BICICLETA;CONDUCTOR;HOMBRE
03/01/2017;MARTES;CAIDA BICICLETA ;BICICLETA;CONDUCTOR;HOMBRE
04/01/2017;MIERCOLES;CAIDA BICICLETA ;BICICLETA;CONDUCTOR;HOMBRE
05/01/2017;JUEVES;CAIDA BICICLETA ;BICICLETA;CONDUCTOR;HOMBRE
05/01/2017;JUEVES;CAIDA BICICLETA ;BICICLETA;CONDUCTOR;HOMBRE
05/01/2017;JUEVES;ATROPELLO;BICICLETA;CONDUCTOR;HOMBRE
05/01/2017;JUEVES;CAIDA BICICLETA ;BICICLETA;CONDUCTOR;HOMBRE
06/01/2017;VIERNES;COLISION DOBLE;BICICLETA;CONDUCTOR;HOMBRE
06/01/2017;VIERNES;COLISION DOBLE;BICICLETA;CONDUCTOR;HOMBRE
07/01/2017;SABADO;CAIDA BICICLETA ;BICICLETA;CONDUCTOR;MUJER
07/01/2017;SABADO;COLISION DOBLE;BICICLETA;CONDUCTOR;HOMBRE
07/01/2017;SABADO;CAIDA BICICLETA ;BICICLETA;CONDUCTOR;HOMBRE
08/01/2017;DOMINGO;CAIDA BICICLETA ;BICICLETA;CONDUCTOR;HOMBRE
08/01/2017;DOMINGO;CAIDA BICICLETA ;BICICLETA;CONDUCTOR;MUJER
09/01/2017;LUNES;CAIDA BICICLETA ;BICICLETA;CONDUCTOR;MUJER
09/01/2017;LUNES;COLISION DOBLE;BICICLETA;CONDUCTOR;HOMBRE
09/01/2017;LUNES;COLISION DOBLE;BICICLETA;CONDUCTOR;HOMBRE
10/01/2017;MARTES;CAIDA BICICLETA ;BICICLETA;CONDUCTOR;HOMBRE
10/01/2017;MARTES;CAIDA BICICLETA ;BICICLETA;CONDUCTOR;HOMBRE
10/01/2017;MARTES;CAIDA BICICLETA ;BICICLETA;CONDUCTOR;HOMBRE
12/01/2017;JUEVES;COLISION DOBLE;BICICLETA;CONDUCTOR;MUJER
12/01/2017;JUEVES;COLISION DOBLE;BICICLETA;CONDUCTOR;MUJER
12/01/2017;JUEVES;COLISION DOBLE;BICICLETA;CONDUCTOR;NO ASIGNADO
12/01/2017;JUEVES;CAIDA MOTOCICLETA ;BICICLETA;CONDUCTOR;HOMBRE
13/01/2017;VIERNES;COLISION DOBLE;BICICLETA;CONDUCTOR;HOMBRE
13/01/2017;VIERNES;CAIDA BICICLETA ;BICICLETA;CONDUCTOR;MUJER
15/01/2017;DOMINGO;ATROPELLO;BICICLETA;CONDUCTOR;HOMBRE
19/01/2017;JUEVES;CAIDA BICICLETA ;BICICLETA;CONDUCTOR;HOMBRE
19/01/2017;JUEVES;COLISION DOBLE;BICICLETA;CONDUCTOR;HOMBRE
20/01/2017;VIERNES;CAIDA BICICLETA ;BICICLETA;CONDUCTOR;HOMBRE
20/01/2017;VIERNES;COLISION DOBLE;BICICLETA;CONDUCTOR;HOMBRE
21/01/2017;SABADO;ATROPELLO;BICICLETA;CONDUCTOR;HOMBRE
21/01/2017;SABADO;CAIDA BICICLETA ;BICICLETA;CONDUCTOR;HOMBRE
22/01/2017;DOMINGO;CAIDA BICICLETA ;BICICLETA;CONDUCTOR;HOMBRE
24/01/2017;MARTES;COLISION DOBLE;BICICLETA;CONDUCTOR;HOMBRE
24/01/2017;MARTES;CAIDA BICICLETA ;BICICLETA;CONDUCTOR;HOMBRE
25/01/2017;MIERCOLES;CAIDA BICICLETA ;BICICLETA;CONDUCTOR;HOMBRE
25/01/2017;MIERCOLES;CHOQUE CON OBJETO FIJO;BICICLETA;CONDUCTOR;MUJER
26/01/2017;JUEVES;COLISION DOBLE;BICICLETA;CONDUCTOR;HOMBRE
26/01/2017;JUEVES;COLISION DOBLE;BICICLETA;CONDUCTOR;HOMBRE
27/01/2017;VIERNES;COLISION DOBLE;BICICLETA;CONDUCTOR;HOMBRE
29/01/2017;DOMINGO;CAIDA BICICLETA ;BICICLETA;CONDUCTOR;HOMBRE
31/01/2017;MARTES;COLISION DOBLE;BICICLETA;CONDUCTOR;HOMBRE
31/01/2017;MARTES;CAIDA BICICLETA ;BICICLETA;CONDUCTOR;MUJER
01/02/2017;MIERCOLES;CAIDA BICICLETA ;BICICLETA;CONDUCTOR;HOMBRE
02/02/2017;JUEVES;CAIDA BICICLETA ;BICICLETA;CONDUCTOR;HOMBRE
02/02/2017;JUEVES;CAIDA BICICLETA ;BICICLETA;CONDUCTOR;MUJER
02/02/2017;JUEVES;COLISION DOBLE;BICICLETA;CONDUCTOR;MUJER
03/02/2017;VIERNES;COLISION DOBLE;BICICLETA;CONDUCTOR;HOMBRE
03/02/2017;VIERNES;COLISION DOBLE;BICICLETA;CONDUCTOR;HOMBRE
03/02/2017;VIERNES;CAIDA BICICLETA ;BICICLETA;CONDUCTOR;HOMBRE
